Fri May 12 14:52:39 2023    debug_timer_rec

         447405400 function calls (431447914 primitive calls) in 908.807 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.005    0.000 arraysetops.py:788(setdiff1d)
     1830    0.003    0.000    0.015    0.000 artist.py:1011(set_visible)
       10    0.000    0.000    0.000    0.000 artist.py:1043(set_in_layout)
    90475    0.030    0.000    0.030    0.000 artist.py:1056(get_label)
    30180    0.092    0.000    0.277    0.000 artist.py:1060(set_label)
       30    0.000    0.000    0.000    0.000 artist.py:1076(get_zorder)
    30657    0.071    0.000    0.336    0.000 artist.py:1080(set_zorder)
182500050  116.081    0.000  116.081    0.000 artist.py:1095(sticky_edges)
      520    0.004    0.000    0.009    0.000 artist.py:1122(update_from)
65124/65049    0.633    0.000    5.691    0.000 artist.py:1143(_update_props)
      577    0.001    0.000    0.031    0.000 artist.py:1168(update)
3474/3399    0.005    0.000    0.194    0.000 artist.py:117(<lambda>)
64547/64472    0.090    0.000    5.751    0.000 artist.py:1179(_internal_update)
3474/3399    0.007    0.000    0.189    0.000 artist.py:1190(set)
      844    0.003    0.000    0.061    0.000 artist.py:1196(_cm_set)
      422    0.001    0.000    0.001    0.000 artist.py:1201(<dictcomp>)
    30260    0.012    0.000    0.012    0.000 artist.py:1338(get_mouseover)
        5    0.000    0.000    0.000    0.000 artist.py:1345(set_mouseover)
    31721    0.531    0.000    0.867    0.000 artist.py:150(__init__)
    60350    0.319    0.000    1.198    0.000 artist.py:236(have_units)
   181050    0.191    0.000    0.292    0.000 artist.py:239(<genexpr>)
    62883    0.055    0.000    0.128    0.000 artist.py:241(convert_xunits)
    62914    0.045    0.000    0.094    0.000 artist.py:253(convert_yunits)
  1652394    0.424    0.000    0.424    0.000 artist.py:265(axes)
    62392    0.066    0.000    0.066    0.000 artist.py:270(axes)
1623592/978601    2.676    0.000    5.584    0.000 artist.py:289(stale)
122972/20    0.701    0.000  340.870   17.044 artist.py:33(draw_wrapper)
   250643    0.257    0.000    1.410    0.000 artist.py:387(pchanged)
    30275    0.011    0.000    0.011    0.000 artist.py:400(is_transform_set)
    31485    0.058    0.000    0.283    0.000 artist.py:408(set_transform)
   123043    0.237    0.000    0.285    0.000 artist.py:421(get_transform)
      292    0.000    0.000    0.000    0.000 artist.py:574(get_url)
        5    0.000    0.000    0.000    0.000 artist.py:578(set_url)
    61586    0.021    0.000    0.021    0.000 artist.py:588(get_gid)
    60510    0.117    0.000    0.209    0.000 artist.py:602(get_snap)
       10    0.000    0.000    0.000    0.000 artist.py:613(set_snap)
    60782    0.063    0.000    0.063    0.000 artist.py:641(get_sketch_params)
    61194    0.020    0.000    0.020    0.000 artist.py:700(get_path_effects)
       50    0.000    0.000    0.000    0.000 artist.py:703(get_figure)
    31726    0.075    0.000    0.263    0.000 artist.py:707(set_figure)
       20    0.000    0.000  340.870   17.044 artist.py:72(draw_wrapper)
       90    0.000    0.000    0.001    0.000 artist.py:731(set_clip_box)
    30440    0.550    0.000   13.996    0.000 artist.py:743(set_clip_path)
      427    0.000    0.000    0.000    0.000 artist.py:805(get_alpha)
    67094    0.028    0.000    0.028    0.000 artist.py:812(get_visible)
  1653982    0.442    0.000    0.442    0.000 artist.py:816(get_animated)
   308453    0.556    0.000    3.705    0.000 artist.py:82(_stale_axes_callback)
       10    0.000    0.000    0.000    0.000 artist.py:855(get_clip_on)
       10    0.000    0.000    0.000    0.000 artist.py:859(get_clip_box)
    30165    0.012    0.000    0.012    0.000 artist.py:863(get_clip_path)
      115    0.000    0.000    0.001    0.000 artist.py:877(set_clip_on)
    61214    0.176    0.000    0.967    0.000 artist.py:894(_set_gc_clip)
   245944    0.068    0.000    0.068    0.000 artist.py:904(get_rasterized)
        5    0.000    0.000    0.000    0.000 artist.py:908(set_rasterized)
   245944    0.068    0.000    0.068    0.000 artist.py:929(get_agg_filter)
    30356    0.071    0.000    0.277    0.000 artist.py:970(set_alpha)
    30160    0.098    0.000    0.470    0.000 artist.py:988(_set_alpha_for_array)
      509    0.000    0.000    0.001    0.000 ast.py:247(iter_fields)
        1    0.000    0.000    0.016    0.016 ast.py:33(parse)
    173/1    0.000    0.000    0.003    0.003 ast.py:406(visit)
    172/1    0.001    0.000    0.003    0.003 ast.py:412(generic_visit)
       74    0.000    0.000    0.001    0.000 ast.py:422(visit_Constant)
       30    0.000    0.000    0.108    0.004 axis.py:1010(set_clip_path)
    60375    0.181    0.000    1.653    0.000 axis.py:1053(get_inverted)
    60350    1.560    0.000   14.480    0.000 axis.py:1090(_set_lim)
    60350    0.074    0.000    0.074    0.000 axis.py:1108(<listcomp>)
       60    0.000    0.000    0.001    0.000 axis.py:1165(_set_artist_props)
      220    0.012    0.000    0.574    0.003 axis.py:1185(_update_ticks)
      220    0.001    0.000    0.347    0.002 axis.py:1228(_get_ticklabel_bboxes)
      220    0.002    0.000    0.162    0.001 axis.py:1232(<listcomp>)
      220    0.002    0.000    0.184    0.001 axis.py:1234(<listcomp>)
       50    0.002    0.000    0.456    0.009 axis.py:1237(get_tightbbox)
      100    0.000    0.000    0.005    0.000 axis.py:1262(<genexpr>)
       50    0.001    0.000    0.001    0.000 axis.py:1281(<listcomp>)
       60    0.003    0.000    1.022    0.017 axis.py:1296(draw)
      230    0.001    0.000    0.057    0.000 axis.py:1414(get_majorticklocs)
      220    0.005    0.000    0.078    0.000 axis.py:1418(get_minorticklocs)
      191    0.002    0.000    0.456    0.002 axis.py:1476(_get_tick)
      160    0.001    0.000    0.009    0.000 axis.py:1485(_get_tick_label_size)
      101    0.001    0.000    0.114    0.001 axis.py:1497(_copy_tick_props)
   120675    0.147    0.000    0.212    0.000 axis.py:1511(get_major_locator)
        5    0.000    0.000    0.000    0.000 axis.py:1515(get_minor_locator)
        5    0.000    0.000    0.000    0.000 axis.py:1519(get_major_formatter)
      245    0.001    0.000    0.340    0.001 axis.py:1527(get_major_ticks)
      191    0.000    0.000    0.000    0.000 axis.py:154(<dictcomp>)
      225    0.000    0.000    0.001    0.000 axis.py:1540(get_minor_ticks)
       80    0.001    0.000    0.201    0.003 axis.py:1553(grid)
       80    0.000    0.000    0.000    0.000 axis.py:1585(<dictcomp>)
   120660    0.237    0.000    4.374    0.000 axis.py:1596(update_units)
   241360    0.188    0.000    0.188    0.000 axis.py:1651(have_units)
   181550    0.168    0.000    1.177    0.000 axis.py:1654(convert_units)
      180    0.000    0.000    0.000    0.000 axis.py:1671(set_units)
       15    0.000    0.000    0.001    0.000 axis.py:1705(set_label_text)
      230    0.001    0.000    0.005    0.000 axis.py:1726(set_major_formatter)
      215    0.000    0.000    0.004    0.000 axis.py:1752(set_minor_formatter)
      445    0.003    0.000    0.009    0.000 axis.py:1766(_set_formatter)
      245    0.002    0.000    0.006    0.000 axis.py:1792(set_major_locator)
      225    0.001    0.000    0.004    0.000 axis.py:1808(set_minor_locator)
       30    0.000    0.000    0.000    0.000 axis.py:1824(set_pickradius)
      390    0.000    0.000    0.001    0.000 axis.py:1843(_format_with_dict)
       10    0.001    0.000    0.004    0.000 axis.py:1847(set_ticklabels)
       10    0.000    0.000    0.000    0.000 axis.py:1880(<listcomp>)
       10    0.000    0.000    0.000    0.000 axis.py:1895(<dictcomp>)
       10    0.000    0.000    0.004    0.000 axis.py:1931(_set_ticklabels)
      191    0.001    0.000    0.001    0.000 axis.py:196(_set_labelrotation)
       20    0.001    0.000    0.040    0.002 axis.py:1970(_set_tick_locations)
       20    0.000    0.000    0.000    0.000 axis.py:1977(<listcomp>)
       20    0.001    0.000    0.040    0.002 axis.py:1996(set_ticks)
      110    0.002    0.000    0.306    0.003 axis.py:2035(_get_tick_boxes_siblings)
      110    0.000    0.000    0.000    0.000 axis.py:2043(<listcomp>)
      191    0.001    0.000    0.002    0.000 axis.py:208(_apply_tickdir)
       90    0.000    0.000    0.002    0.000 axis.py:2097(_get_ticks_position)
      240    0.001    0.000    0.001    0.000 axis.py:2113(<genexpr>)
       60    0.000    0.000    0.000    0.000 axis.py:2119(<genexpr>)
       60    0.000    0.000    0.000    0.000 axis.py:2125(<genexpr>)
       60    0.000    0.000    0.000    0.000 axis.py:2134(get_label_position)
    61305    0.118    0.000    1.500    0.000 axis.py:2160(getter)
60370/60360    0.186    0.000    3.301    0.000 axis.py:2164(setter)
       15    0.001    0.000    0.044    0.003 axis.py:2189(__init__)
       60    0.002    0.000    0.168    0.003 axis.py:2242(_update_label_position)
      191    0.000    0.000    0.000    0.000 axis.py:228(get_tick_padding)
       60    0.001    0.000    0.014    0.000 axis.py:2282(_update_offset_text_position)
       10    0.000    0.000    0.006    0.001 axis.py:2329(set_ticks_position)
        5    0.000    0.000    0.006    0.001 axis.py:2369(tick_top)
       90    0.000    0.000    0.002    0.000 axis.py:2393(get_ticks_position)
    30175    0.048    0.000    0.090    0.000 axis.py:2406(get_minpos)
       90    0.000    0.000    0.033    0.000 axis.py:242(set_clip_path)
       40    0.001    0.000    0.010    0.000 axis.py:2422(get_tick_space)
       15    0.000    0.000    0.019    0.001 axis.py:2440(__init__)
        5    0.000    0.000    0.000    0.000 axis.py:2481(set_label_position)
       50    0.001    0.000    0.216    0.004 axis.py:2496(_update_label_position)
       50    0.001    0.000    0.005    0.000 axis.py:2535(_update_offset_text_position)
        5    0.000    0.000    0.000    0.000 axis.py:2551(set_offset_position)
        5    0.000    0.000    0.004    0.001 axis.py:2583(set_ticks_position)
    30175    0.046    0.000    0.084    0.000 axis.py:2658(get_minpos)
      120    0.002    0.000    0.031    0.000 axis.py:2674(get_tick_space)
     1004    0.000    0.000    0.000    0.000 axis.py:294(get_loc)
      252    0.003    0.000    0.366    0.001 axis.py:298(draw)
     1004    0.001    0.000    0.011    0.000 axis.py:310(set_label1)
     1004    0.001    0.000    0.010    0.000 axis.py:323(set_label2)
      955    0.001    0.000    0.008    0.000 axis.py:347(_set_artist_props)
      320    0.005    0.000    0.056    0.000 axis.py:356(_apply_params)
     1600    0.001    0.000    0.001    0.000 axis.py:364(<genexpr>)
      320    0.000    0.000    0.000    0.000 axis.py:381(<dictcomp>)
      320    0.000    0.000    0.000    0.000 axis.py:394(<dictcomp>)
      320    0.000    0.000    0.000    0.000 axis.py:399(<dictcomp>)
       75    0.002    0.000    0.188    0.003 axis.py:421(__init__)
       75    0.000    0.000    0.004    0.000 axis.py:443(_get_text1_transform)
       75    0.000    0.000    0.003    0.000 axis.py:446(_get_text2_transform)
       75    0.001    0.000    0.010    0.000 axis.py:449(_apply_tickdir)
      470    0.003    0.000    0.016    0.000 axis.py:460(update_position)
      116    0.002    0.000    0.267    0.002 axis.py:482(__init__)
      116    0.000    0.000    0.006    0.000 axis.py:504(_get_text1_transform)
      116    0.000    0.000    0.006    0.000 axis.py:507(_get_text2_transform)
      116    0.001    0.000    0.016    0.000 axis.py:510(_apply_tickdir)
      755    0.004    0.000    0.024    0.000 axis.py:521(update_position)
       60    0.000    0.000    0.000    0.000 axis.py:548(__init__)
   121350    0.066    0.000    0.066    0.000 axis.py:554(locator)
      470    0.001    0.000    0.001    0.000 axis.py:558(locator)
     1905    0.001    0.000    0.001    0.000 axis.py:565(formatter)
      445    0.000    0.000    0.001    0.000 axis.py:569(formatter)
      191    0.011    0.000    0.342    0.002 axis.py:58(__init__)
    90/60    0.001    0.000    0.233    0.004 axis.py:588(__get__)
       30    0.002    0.000    0.051    0.002 axis.py:648(__init__)
      460    0.000    0.000    0.000    0.000 axis.py:699(isDefault_majloc)
      445    0.000    0.000    0.000    0.000 axis.py:707(isDefault_majfmt)
      440    0.000    0.000    0.000    0.000 axis.py:715(isDefault_minloc)
      430    0.000    0.000    0.000    0.000 axis.py:723(isDefault_minfmt)
      220    0.000    0.000    0.000    0.000 axis.py:733(get_remove_overlapping_locs)
    61634    0.098    0.000    0.506    0.000 axis.py:764(get_transform)
   120660    0.108    0.000    0.108    0.000 axis.py:767(get_scale)
      215    0.002    0.000    0.093    0.000 axis.py:771(_set_scale)
        5    0.000    0.000    0.004    0.001 axis.py:784(_set_axes_scale)
        5    0.000    0.000    0.000    0.000 axis.py:810(<listcomp>)
    60350    0.119    0.000    0.309    0.000 axis.py:827(limit_range_for_scale)
   120630    0.080    0.000    0.080    0.000 axis.py:830(_get_autoscale_on)
       40    0.000    0.000    0.000    0.000 axis.py:834(_set_autoscale_on)
      180    0.003    0.000    0.085    0.000 axis.py:861(clear)
      240    0.001    0.000    0.001    0.000 axis.py:897(reset_ticks)
      170    0.002    0.000    0.230    0.001 axis.py:917(set_tick_params)
      170    0.001    0.000    0.002    0.000 axis.py:956(_translate_tick_params)
      170    0.001    0.000    0.001    0.000 axis.py:995(<dictcomp>)
        1    0.000    0.000    0.004    0.004 backend_agg.py:1(<module>)
       10    0.000    0.000    0.000    0.000 backend_agg.py:100(_update_methods)
      160    0.001    0.000    0.022    0.000 backend_agg.py:109(draw_path)
      412    0.007    0.000    0.247    0.001 backend_agg.py:200(draw_text)
      305    0.003    0.000    0.161    0.001 backend_agg.py:221(get_text_width_height_descent)
      412    0.000    0.000    0.000    0.000 backend_agg.py:264(get_canvas_width_height)
      717    0.005    0.000    0.085    0.000 backend_agg.py:268(_prepare_font)
     1014    0.001    0.000    0.001    0.000 backend_agg.py:278(points_to_pixels)
       10    0.000    0.000    0.000    0.000 backend_agg.py:282(buffer_rgba)
       20    0.000    0.000    0.003    0.000 backend_agg.py:291(clear)
       50    0.000    0.000    0.000    0.000 backend_agg.py:294(option_image_nocomposite)
       10    0.000    0.000    0.000    0.000 backend_agg.py:302(option_scale_image)
        1    0.000    0.000    0.001    0.001 backend_agg.py:384(FigureCanvasAgg)
       20    0.001    0.000  340.889   17.044 backend_agg.py:397(draw)
       20    0.001    0.000    0.010    0.000 backend_agg.py:410(get_renderer)
      717    0.002    0.000    0.003    0.000 backend_agg.py:43(get_hinting_flag)
       10    0.000    0.000    0.000    0.000 backend_agg.py:440(buffer_rgba)
       10    0.001    0.000  177.527   17.753 backend_agg.py:458(_print_pil)
       10    0.000    0.000  177.527   17.753 backend_agg.py:468(print_png)
        1    0.000    0.000    0.000    0.000 backend_agg.py:561(_BackendAgg)
        1    0.000    0.000    0.000    0.000 backend_agg.py:59(RendererAgg)
       10    0.007    0.001    0.009    0.001 backend_agg.py:78(__init__)
    61214    0.021    0.000    0.021    0.000 backend_bases.py:1007(get_hatch_linewidth)
    61214    0.023    0.000    0.023    0.000 backend_bases.py:1011(get_sketch_params)
       25    0.000    0.000    0.000    0.000 backend_bases.py:1223(__init__)
       25    0.000    0.000    0.000    0.000 backend_bases.py:1228(_process)
       20    0.000    0.000    0.000    0.000 backend_bases.py:1255(__init__)
       20    0.019    0.001    0.019    0.001 backend_bases.py:1636(__init__)
       90    0.000    0.000    0.000    0.000 backend_bases.py:1658(<lambda>)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1662(_fix_ipython_backend2gui)
       10    0.000    0.000    0.453    0.045 backend_bases.py:1692(new_manager)
       30    0.000    0.000    0.000    0.000 backend_bases.py:1713(is_saving)
       10    0.000    0.000    0.001    0.000 backend_bases.py:172(__init__)
       10    0.000    0.000    0.001    0.000 backend_bases.py:1728(resize)
    61576    0.020    0.000    0.020    0.000 backend_bases.py:179(open_group)
    61576    0.020    0.000    0.020    0.000 backend_bases.py:186(close_group)
       20    0.000    0.000    0.000    0.000 backend_bases.py:2029(draw)
       40    0.000    0.000    0.000    0.000 backend_bases.py:2056(device_pixel_ratio)
       20    0.001    0.000    0.004    0.000 backend_bases.py:2107(get_width_height)
       60    0.000    0.000    0.000    0.000 backend_bases.py:2128(<genexpr>)
       20    0.001    0.000    0.007    0.000 backend_bases.py:2150(_switch_canvas_and_return_print_method)
       10    0.000    0.000  177.528   17.753 backend_bases.py:2204(<lambda>)
       10    0.000    0.000    0.000    0.000 backend_bases.py:2205(<dictcomp>)
       10    0.001    0.000  177.543   17.754 backend_bases.py:2213(print_figure)
       60    0.000    0.000    0.002    0.000 backend_bases.py:2387(mpl_connect)
        5    0.000    0.000    0.000    0.000 backend_bases.py:2442(mpl_disconnect)
       10    0.002    0.000    0.224    0.022 backend_bases.py:2777(__init__)
       20    0.000    0.000    0.001    0.000 backend_bases.py:2808(notify_axes_change)
       10    0.001    0.000    0.452    0.045 backend_bases.py:2814(create_with_canvas)
       10    0.001    0.000    0.003    0.000 backend_bases.py:2936(__init__)
       40    0.000    0.000    0.004    0.000 backend_bases.py:3021(_wait_cursor_for_draw_cm)
       20    0.000    0.000    0.000    0.000 backend_bases.py:3310(update)
       10    0.002    0.000    0.516    0.052 backend_bases.py:3498(new_figure_manager)
       10    0.001    0.000    0.453    0.045 backend_bases.py:3507(new_figure_manager_given_figure)
       10    0.000    0.000    0.000    0.000 backend_bases.py:3512(draw_if_interactive)
        3    0.000    0.000    0.001    0.000 backend_bases.py:3550(export)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3565(Show)
       10    0.000    0.000    0.000    0.000 backend_bases.py:448(get_image_magnification)
      412    0.000    0.000    0.000    0.000 backend_bases.py:632(flipy)
    61214    0.155    0.000    2.211    0.000 backend_bases.py:650(new_gc)
       10    0.000    0.000    0.000    0.000 backend_bases.py:675(start_rasterizing)
       10    0.000    0.000    0.000    0.000 backend_bases.py:682(stop_rasterizing)
    61214    0.545    0.000    2.057    0.000 backend_bases.py:727(__init__)
    61214    0.015    0.000    0.015    0.000 backend_bases.py:768(restore)
    61214    0.050    0.000    0.050    0.000 backend_bases.py:795(get_clip_path)
    61214    0.025    0.000    0.025    0.000 backend_bases.py:810(get_dashes)
    61214    0.026    0.000    0.026    0.000 backend_bases.py:847(get_snap)
      582    0.001    0.000    0.001    0.000 backend_bases.py:858(set_alpha)
    60772    0.098    0.000    0.098    0.000 backend_bases.py:875(set_antialiased)
      442    0.001    0.000    0.001    0.000 backend_bases.py:880(set_capstyle)
    60430    0.032    0.000    0.032    0.000 backend_bases.py:891(set_clip_rectangle)
    61214    0.216    0.000    0.758    0.000 backend_bases.py:895(set_clip_path)
    60490    0.090    0.000    0.090    0.000 backend_bases.py:900(set_dashes)
    61766    0.228    0.000    0.683    0.000 backend_bases.py:930(set_foreground)
      442    0.001    0.000    0.001    0.000 backend_bases.py:950(set_joinstyle)
    60782    0.079    0.000    0.079    0.000 backend_bases.py:961(set_linewidth)
    61194    0.035    0.000    0.035    0.000 backend_bases.py:965(set_url)
       10    0.000    0.000    0.000    0.000 backend_bases.py:969(set_gid)
    60792    0.025    0.000    0.025    0.000 backend_bases.py:973(set_snap)
    61214    0.025    0.000    0.025    0.000 backend_bases.py:988(get_hatch)
    61214    0.083    0.000    0.108    0.000 backend_bases.py:992(get_hatch_path)
    61214    0.029    0.000    0.029    0.000 backend_bases.py:999(get_hatch_color)
        1    0.000    0.000    0.001    0.001 backend_macosx.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_qt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_qt.py:1001(ToolCopyToClipboardQT)
        1    0.000    0.000    0.000    0.000 backend_qt.py:1012(_BackendQT)
        1    0.033    0.033    0.033    0.033 backend_qt.py:102(_create_qApp)
        1    0.000    0.000    0.000    0.000 backend_qt.py:161(TimerQT)
        1    0.000    0.000    0.000    0.000 backend_qt.py:190(FigureCanvasQT)
       10    0.000    0.000    0.000    0.000 backend_qt.py:193(<lambda>)
        1    0.000    0.000    0.000    0.000 backend_qt.py:195(<dictcomp>)
       10    0.016    0.002    0.075    0.008 backend_qt.py:205(__init__)
       30    0.000    0.000    0.001    0.000 backend_qt.py:244(set_cursor)
        1    0.000    0.000    0.001    0.001 backend_qt.py:25(<dictcomp>)
       10    0.001    0.000    0.002    0.000 backend_qt.py:353(sizeHint)
       20    0.000    0.000    0.001    0.000 backend_qt.py:415(draw)
       10    0.000    0.000    0.002    0.000 backend_qt.py:425(draw_idle)
        1    0.000    0.000    0.000    0.000 backend_qt.py:493(MainWindow)
        5    0.000    0.000    0.001    0.000 backend_qt.py:496(closeEvent)
        1    0.000    0.000    0.000    0.000 backend_qt.py:501(FigureManagerQT)
       10    0.097    0.010    0.376    0.038 backend_qt.py:515(__init__)
        5    0.000    0.000    0.000    0.000 backend_qt.py:520(<lambda>)
        5    0.000    0.000    0.000    0.000 backend_qt.py:564(_widgetclosed)
        5    0.002    0.000    0.010    0.002 backend_qt.py:592(destroy)
       10    0.000    0.000    0.003    0.000 backend_qt.py:606(set_window_title)
        1    0.000    0.000    0.000    0.000 backend_qt.py:610(NavigationToolbar2QT)
        1    0.000    0.000    0.000    0.000 backend_qt.py:616(<listcomp>)
       10    0.094    0.009    0.218    0.022 backend_qt.py:620(__init__)
       80    0.027    0.000    0.083    0.001 backend_qt.py:660(_icon)
        1    0.000    0.000    0.000    0.000 backend_qt.py:70(<listcomp>)
       30    0.000    0.000    0.001    0.000 backend_qt.py:785(set_history_buttons)
        1    0.000    0.000    0.000    0.000 backend_qt.py:794(SubplotToolQt)
        1    0.000    0.000    0.000    0.000 backend_qt.py:80(<dictcomp>)
        1    0.000    0.000    0.000    0.000 backend_qt.py:892(ToolbarQt)
        1    0.000    0.000    0.000    0.000 backend_qt.py:93(__getattr__)
        1    0.000    0.000    0.000    0.000 backend_qt.py:960(ConfigureSubplotsQt)
        1    0.000    0.000    0.000    0.000 backend_qt.py:970(SaveFigureQt)
        1    0.000    0.000    0.000    0.000 backend_qt.py:977(SetCursorQt)
        1    0.000    0.000    0.000    0.000 backend_qt.py:984(RubberbandQt)
        1    0.000    0.000    0.000    0.000 backend_qt.py:995(HelpQt)
        1    0.000    0.000    0.097    0.097 backend_qtagg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_qtagg.py:17(FigureCanvasQTAgg)
       10    0.000    0.000  341.215   34.121 backend_qtagg.py:80(print_figure)
        1    0.000    0.000    0.000    0.000 backend_qtagg.py:85(_BackendQTAgg)
       10    0.000    0.000    0.000    0.000 backend_tools.py:52(_register_tool_class)
        5    0.001    0.000    0.001    0.000 base.py:314(__getstate__)
       32    0.001    0.000    0.002    0.000 base.py:359(_check_n_features)
       32    0.000    0.000    0.001    0.000 base.py:405(_check_feature_names)
       32    0.002    0.000    0.234    0.007 base.py:495(_validate_data)
       16    0.001    0.000    0.001    0.000 bezier.py:15(_comb)
   603300    9.112    0.000   14.804    0.000 bezier.py:191(__init__)
   603300    2.972    0.000    4.012    0.000 bezier.py:195(<listcomp>)
   603300    8.982    0.000   16.908    0.000 bezier.py:200(__call__)
   482640    0.129    0.000    0.129    0.000 bezier.py:224(control_points)
  1085940    0.344    0.000    0.344    0.000 bezier.py:234(degree)
   482640   13.717    0.000   54.156    0.000 bezier.py:239(polynomial_coefficients)
   603300   16.666    0.000  228.043    0.000 bezier.py:275(axis_aligned_extrema)
    30180    0.290    0.000    3.686    0.000 cm.py:397(__init__)
       10    0.000    0.000    0.003    0.000 cm.py:423(_scale_norm)
       20    0.000    0.000    0.034    0.002 cm.py:445(to_rgba)
        5    0.000    0.000    0.001    0.000 cm.py:515(set_array)
       15    0.000    0.000    0.000    0.000 cm.py:538(get_array)
    30180    0.055    0.000    1.660    0.000 cm.py:593(set_cmap)
    90755    0.025    0.000    0.025    0.000 cm.py:607(norm)
    30195    0.337    0.000    1.628    0.000 cm.py:611(norm)
    30180    0.058    0.000    1.685    0.000 cm.py:640(set_norm)
       15    0.000    0.000    0.003    0.000 cm.py:667(autoscale_None)
       25    0.000    0.000    0.000    0.000 cm.py:678(changed)
    30180    0.225    0.000    1.604    0.000 cm.py:717(_ensure_cmap)
    30175    0.069    0.000    0.251    0.000 cm.py:85(__getitem__)
    30175    0.041    0.000    0.053    0.000 cm.py:91(__iter__)
    30175    0.018    0.000    0.028    0.000 cm.py:94(__len__)
    30165    0.030    0.000    0.062    0.000 collections.py:1003(set_paths)
    90495    0.065    0.000    0.065    0.000 collections.py:1007(get_paths)
        5    0.000    0.000    0.004    0.001 collections.py:1372(__init__)
       15    0.000    0.000    0.000    0.000 collections.py:1416(set_segments)
       15    0.000    0.000    0.000    0.000 collections.py:1420(<listcomp>)
        5    0.000    0.000    0.000    0.000 collections.py:1455(_get_default_antialiased)
        5    0.000    0.000    0.000    0.000 collections.py:1458(_get_default_edgecolor)
        5    0.000    0.000    0.000    0.000 collections.py:1464(set_color)
        5    0.000    0.000    0.006    0.001 collections.py:1955(__init__)
        5    0.000    0.000    0.000    0.000 collections.py:1963(<lambda>)
        5    0.000    0.000    0.001    0.000 collections.py:2005(set_array)
       15    0.000    0.000    0.000    0.000 collections.py:205(get_paths)
    60350    0.023    0.000    0.023    0.000 collections.py:211(get_transforms)
       10    0.001    0.000    0.013    0.001 collections.py:2134(draw)
    90505    0.166    0.000    0.190    0.000 collections.py:214(get_offset_transform)
       15    0.000    0.000    0.000    0.000 collections.py:224(set_offset_transform)
    30155    0.808    0.000   15.019    0.000 collections.py:235(get_datalim)
    60340    0.651    0.000    4.160    0.000 collections.py:308(_prepare_points)
    60340    4.108    0.000  334.139    0.006 collections.py:344(draw)
   120660    0.065    0.000    0.065    0.000 collections.py:382(<genexpr>)
    30175    0.017    0.000    0.017    0.000 collections.py:422(set_pickradius)
    30175    0.032    0.000    0.064    0.000 collections.py:474(set_urls)
    30175    0.089    0.000    0.207    0.000 collections.py:497(set_hatch)
    60330    0.021    0.000    0.021    0.000 collections.py:534(get_hatch)
    90505    0.075    0.000    0.075    0.000 collections.py:554(get_offsets)
    30170    0.040    0.000    0.095    0.000 collections.py:559(_get_default_linewidth)
    30175    0.210    0.000    1.109    0.000 collections.py:563(set_linewidth)
    30175    0.139    0.000    0.496    0.000 collections.py:583(set_linestyle)
    60350    0.223    0.000    0.661    0.000 collections.py:658(_bcast_lwls)
    60350    0.157    0.000    0.341    0.000 collections.py:691(<listcomp>)
    30175    0.107    0.000    0.445    0.000 collections.py:696(set_antialiased)
    30170    0.028    0.000    0.063    0.000 collections.py:709(_get_default_antialiased)
       25    0.000    0.000    0.000    0.000 collections.py:729(_get_default_facecolor)
    90500    0.306    0.000    6.950    0.000 collections.py:733(_set_facecolor)
    30175    0.081    0.000    2.272    0.000 collections.py:740(set_facecolor)
   120690    0.052    0.000    0.052    0.000 collections.py:757(get_facecolor)
    60360    0.153    0.000    0.239    0.000 collections.py:760(get_edgecolor)
    30175    0.759    0.000   15.379    0.001 collections.py:77(__init__)
    90515    0.215    0.000    0.774    0.000 collections.py:770(_set_edgecolor)
    30180    0.121    0.000    0.305    0.000 collections.py:789(set_edgecolor)
    30155    0.113    0.000    2.979    0.000 collections.py:807(set_alpha)
       10    0.000    0.000    0.000    0.000 collections.py:825(get_linewidth)
    60350    0.150    0.000    0.150    0.000 collections.py:831(_set_mappable_flags)
    60350    0.235    0.000    3.650    0.000 collections.py:865(update_scalarmappable)
       15    0.000    0.000    0.001    0.000 collections.py:907(update_from)
       15    0.000    0.000    0.000    0.000 collections.py:938(get_sizes)
    90495    2.351    0.000    3.908    0.000 collections.py:949(set_sizes)
    60330    0.351    0.000  337.977    0.006 collections.py:973(draw)
    30165    0.247    0.000   16.880    0.001 collections.py:984(__init__)
       10    0.001    0.000    0.016    0.002 colorbar.py:1057(_process_values)
        5    0.000    0.000    0.011    0.002 colorbar.py:1110(_mesh)
        5    0.000    0.000    0.016    0.003 colorbar.py:1159(_reset_locator_formatter_scale)
       10    0.000    0.000    0.003    0.000 colorbar.py:1211(_uniform_y)
       10    0.000    0.000    0.010    0.001 colorbar.py:1223(_proportional_y)
        5    0.000    0.000    0.003    0.001 colorbar.py:125(__init__)
       10    0.000    0.000    0.000    0.000 colorbar.py:1261(_get_extension_lengths)
       35    0.000    0.000    0.002    0.000 colorbar.py:1286(_extend_lower)
       35    0.000    0.000    0.001    0.000 colorbar.py:1291(_extend_upper)
