Fri May 12 14:52:39 2023    debug_timer_rec

         447405400 function calls (431447914 primitive calls) in 908.807 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1206    0.005    0.000    0.077    0.000 <__array_function__ internals>:177(sum)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(swapaxes)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(tile)
   121145    0.205    0.000    2.959    0.000 <__array_function__ internals>:177(unique)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(unravel_index)
       10    0.000    0.000    0.017    0.002 <__array_function__ internals>:177(var)
     4706    0.030    0.000    0.064    0.000 <__array_function__ internals>:177(where)
      570    0.002    0.000    0.021    0.000 <__array_function__ internals>:177(zeros_like)
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:283(__subclasshook__)
       44    0.000    0.000    0.000    0.000 <frozen _collections_abc>:315(__subclasshook__)
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:362(__subclasshook__)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:381(__subclasshook__)
       88    0.000    0.000    0.000    0.000 <frozen _collections_abc>:409(__subclasshook__)
       21    0.000    0.000    0.001    0.000 <frozen _collections_abc>:771(get)
      110    0.000    0.000    0.001    0.000 <frozen _collections_abc>:778(__contains__)
       18    0.000    0.000    0.000    0.000 <frozen _collections_abc>:78(_check_methods)
    60380    0.173    0.000    0.251    0.000 <frozen _collections_abc>:794(values)
    60380    0.079    0.000    0.079    0.000 <frozen _collections_abc>:812(__init__)
    60360    0.081    0.000    0.299    0.000 <frozen _collections_abc>:815(__len__)
   301920    0.417    0.000    1.062    0.000 <frozen _collections_abc>:878(__iter__)
        1    0.000    0.000    0.040    0.040 <frozen _sitebuiltins>:101(__call__)
        8    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
   578937    0.325    0.000    1.103    0.000 <frozen abc>:117(__instancecheck__)
122037/121874    0.072    0.000    0.208    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        3    0.000    0.000    0.001    0.000 <frozen codecs>:309(__init__)
        9    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       20    0.001    0.000    0.001    0.000 <frozen genericpath>:121(_splitext)
       31    0.000    0.000    0.006    0.000 <frozen genericpath>:16(exists)
       15    0.000    0.000    0.002    0.000 <frozen genericpath>:27(isfile)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
       31    0.001    0.000    0.027    0.001 <frozen importlib._bootstrap>:1056(_find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_sanity_check)
    31/10    0.000    0.000    0.127    0.013 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    31/10    0.001    0.000    0.127    0.013 <frozen importlib._bootstrap>:1167(_find_and_load)
        4    0.000    0.000    0.104    0.026 <frozen importlib._bootstrap>:1194(_gcd_import)
  253/246    0.001    0.000    0.085    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
    76/16    0.000    0.000    0.118    0.007 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:392(cached)
    60657    0.142    0.000    0.189    0.000 <frozen importlib._bootstrap>:405(parent)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       28    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
    28/27    0.000    0.000    0.064    0.002 <frozen importlib._bootstrap>:566(module_from_spec)
    28/10    0.000    0.000    0.120    0.012 <frozen importlib._bootstrap>:666(_load_unlocked)
